Time[s],j1939::DM01::MILStatus,j1939::DM01::AWLStatus,j1939::DM01::RSLState,j1939::DM01::PLStatus,j1939::DM01::DTC5,j1939::DM01::DTC4,j1939::DM01::DTC3,j1939::DM01::DTC2,j1939::DM01::DTC1
0.833994,0,0,1,0,30415488,18154370,17504711,31778760,31647877
1.833996,0,0,1,0,30415488,18154370,17504711,31778760,31647877
2.834154,0,0,1,0,30415488,18154370,17504711,31778760,31647877
3.834005,0,0,1,0,30415488,18154370,17504711,31778760,31647877
4.834139,0,0,1,0,30415488,18154370,17504711,31778760,31647877
5.834016,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
6.834137,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
7.834038,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
8.834039,0,0,1,0,30415488,18154370,17504711,31778760,31647877
9.834227,0,0,1,0,30415488,18154370,17504711,31778760,31647877
10.834079,0,0,1,0,30415488,18154370,17504711,31778760,31647877
11.834189,0,0,1,0,30415488,18154370,17504711,31778760,31647877
12.834102,0,0,1,0,30415488,18154370,17504711,31778760,31647877
13.834155,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
14.834303,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
15.834191,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
16.834157,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
17.835413,0,0,1,0,30415488,18154370,17504711,31778760,31647877
18.835348,0,0,1,0,30415488,18154370,17504711,31778760,31647877
19.835437,0,0,1,0,30415488,18154370,17504711,31778760,31647877
20.835458,0,0,1,0,30415488,18154370,17504711,31778760,31647877
21.835296,0,0,1,0,30415488,18154370,17504711,31778760,31647877
22.835317,0,0,1,0,30415488,18154370,17504711,31778760,31647877
23.835433,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
24.835391,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
25.835278,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
26.835313,0,0,1,0,30415488,18154370,17504711,31778760,31647877
27.835590,0,0,1,0,30415488,18154370,17504711,31778760,31647877
28.835472,0,0,1,0,30415488,18154370,17504711,31778760,31647877
29.835461,0,0,1,0,30415488,18154370,17504711,31778760,31647877
30.835604,0,0,1,0,30415488,18154370,17504711,31778760,31647877
31.835593,0,0,1,0,30415488,18154370,17504711,31778760,31647877
32.835552,0,0,1,0,30415488,18154370,17504711,31778760,31647877
33.835420,0,0,1,0,30415488,18154370,17504711,31778760,31647877
34.835572,0,0,1,0,30415488,18154370,17504711,31778760,31647877
35.835640,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
36.835645,0,0,1,0,30415488,18154370,17504711,31778760,31647877
37.835620,0,0,1,0,30415488,18154370,17504711,31778760,31647877
38.835535,0,0,1,0,30415488,18154370,17504711,31778760,31647877
39.836741,0,0,1,0,30415488,18154370,17504711,31778760,31647877
40.836841,0,0,1,0,30415488,18154370,17504711,31778760,31647877
41.836842,0,0,1,0,30415488,18154370,17504711,31778760,31647877
42.836787,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
43.836787,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
44.836847,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
45.837189,0,0,1,0,30415488,18154370,17504711,31778760,31647877
46.836812,0,0,1,0,30415488,18154370,17504711,31778760,31647877
47.836861,0,0,1,0,30415488,18154370,17504711,31778760,31647877
48.837050,0,0,1,0,30415488,18154370,17504711,31778760,31647877
49.836840,0,0,1,0,30415488,18154370,17504711,31778760,31647877
50.836901,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
51.836906,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
52.837003,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
53.836858,0,0,1,0,18154370,17504711,31778760,31647877,2114782753
54.837034,0,0,1,0,30415488,18154370,17504711,31778760,31647877
55.837001,0,0,1,0,30415488,18154370,17504711,31778760,31647877
56.837059,0,0,1,0,30415488,18154370,17504711,31778760,31647877
57.837066,0,0,1,0,30415488,18154370,17504711,31778760,31647877
58.837065,0,0,1,0,30415488,18154370,17504711,31778760,31647877
59.837063,0,0,1,0,30415488,18154370,17504711,31778760,31647877
60.836965,0,0,1,0,30415488,18154370,17504711,31778760,31647877
